Major,How many years of experience do you have using Photoshop?,Do you have experience in art or digital art?,Do you have a background in computer science?,"Do you have experience with generative AI products, such as Midjourney, DALL-E, or Stable Diffusion?",Which prompt did you receive?,How many minutes do you think Task 1 took to complete?,How satisfied are you with the final result?,How much do you feel a sense of ownership over the final result?,To what extent does the final output diverge from your initial expectations?,How would you rate the explainability of the tool (workflow) provided?,How would you rate the usability of the tool (workflow) provided to complete the task?,Would you consider the final output to be 'Art'?,How many minutes do you think Task 2 took to complete?,How satisfied are you with the final result?,How much do you feel a sense of ownership over the final result?,To what extent does the final output diverge from your initial expectations?,How would you rate the explainability of the tool (workflow) provided?,How would you rate the usability of the tool (workflow) provided to complete the task?,Would you consider the final output to be 'Art'?,How many minutes do you think Task 3 took to complete?,How satisfied are you with the final result?,How much do you feel a sense of ownership over the final result?,To what extent does the final output diverge from your initial expectations?,How would you rate the explainability of the tool (workflow) provided?,How would you rate the usability of the tool (workflow) provided to complete the task?,Would you consider the final output to be 'Art'?,"In terms of collaberation, who's doing most of the work in the creative process?",Which workflow do you enjoy the most?,Which workflow do you enjoy the least?,Task 1 - Time,Task 2 - Time,Task 3 - Time
Geology,3+ years,Yes,No,No,Prompt 1: Representational,12,5,5,3,6,5,3,16,5,4,3,6,6,5,15,7,6,6,7,7,6,4,Workflow of Task 3 (Photoshop),Workflow of Task 1 (single sampler),15:00,15:00,15:00
MSDA,3+ years,Yes,Yes,Yes,Prompt 3: Design,20,5,3,2,6,6,1,10,2,2,2,4,2,1,15,6,6,5,5,6,2,5,Workflow of Task 3 (Photoshop),Workflow of Task 2 (multiple sampler),15:00,9:12,13:16
Computer Science mod Film,1-3 years,Yes,Yes,No,Prompt 2: Non-Representational,4,6,5,3,7,7,3,7,6,2,5,5,2,2,7,5,5,3,6,5,6,2,Workflow of Task 3 (Photoshop),Workflow of Task 2 (multiple sampler),4:16,8:10,8:30
MSDA,< 1 year,Yes,Yes,No,Prompt 2: Non-Representational,2,7,7,5,7,7,5,4,7,7,5,7,7,7,5,7,7,7,7,7,5,5,Workflow of Task 2 (multiple sampler),Workflow of Task 1 (single sampler),3:20,4:47,7:33
Computer Science,None,No,Yes,Yes,Prompt 3: Design,5,7,7,6,7,7,7,15,6,3,4,6,6,5,30,2,6,1,6,6,7,2,Workflow of Task 3 (Photoshop),Workflow of Task 2 (multiple sampler),5:07,9:15,22:47
Computer Science,< 1 year,Yes,Yes,Yes,Prompt 2: Non-Representational,5,6,2,5,6,4,3,20,4,5,1,6,5,4,25,6,6,2,6,6,5,3,Workflow of Task 3 (Photoshop),Workflow of Task 2 (multiple sampler),3:30,15:52,17:26
MSDA,3+ years,Yes,Yes,Yes,Prompt 1: Representational,5,6,3,4,5,3,3,10,5,4,2,6,5,4,13,5,4,4,6,5,5,2,Workflow of Task 3 (Photoshop),Workflow of Task 1 (single sampler),2:05,7:38,10:42
MSDA,1-3 years,Yes,Yes,Yes,Prompt 2: Non-Representational,6,7,5,5,7,6,7,10,3,4,3,6,5,3,7,6,5,5,7,6,7,3,Workflow of Task 3 (Photoshop),Workflow of Task 2 (multiple sampler),15:39,16:38,18:37
MSDA,< 1 year,Yes,Yes,Yes,Prompt 3: Design,0,7,6,7,7,7,7,20,2,6,3,7,6,7,25,7,5,3,5,7,6,3,Workflow of Task 2 (multiple sampler),Workflow of Task 3 (Photoshop),0:28,6:31,12:31
MSDA,1-3 years,Yes,Yes,Yes,Prompt 1: Representational,7,5,2,6,3,3,1,10,5,5,5,6,3,2,17,6,6,7,7,5,7,5,Workflow of Task 3 (Photoshop),Workflow of Task 2 (multiple sampler),4:48,7:57,18:10
MSDA,< 1 year,Yes,Yes,Yes,Prompt 1: Representational,15,6,5,5,7,7,6,20,6,5,5,7,7,6,15,5,5,5,7,7,6,4,Workflow of Task 2 (multiple sampler),Workflow of Task 1 (single sampler),14:30,14:01,13:25
Computer Science,< 1 year,Yes,Yes,Yes,Prompt 2: Non-Representational,10,4,2,5,6,6,3,20,5,5,5,6,6,6,30,6,6,4,6,7,7,6,Workflow of Task 3 (Photoshop),Workflow of Task 1 (single sampler),14:06,14:48,28:06
Computer Science,3+ years,Yes,Yes,No,Prompt 3: Design,5,6,2,6,2,3,2,10,3,2,4,3,2,2,18,5,4,3,5,4,3,3,Workflow of Task 3 (Photoshop),Workflow of Task 2 (multiple sampler),4:54,8:53,14:12
Computer Science,< 1 year,Yes,Yes,No,Prompt 3: Design,7,7,6,3,7,5,2,12,7,6,5,6,7,6,10,5,4,5,6,6,5,2,Workflow of Task 2 (multiple sampler),Workflow of Task 3 (Photoshop),5:01,8:20,14:56
Japanese Language,< 1 year,Yes,No,Yes,Prompt 1: Representational,15,5,3,5,5,6,4,20,3,2,3,3,4,1,30,6,6,5,7,7,5,4,Workflow of Task 3 (Photoshop),Workflow of Task 2 (multiple sampler),8:46,13:44,19:38
BME,1-3 years,Yes,Yes,Yes,Prompt 1: Representational,5,5,3,4,4,5,3,7,2,5,3,5,5,6,4,6,6,5,7,7,5,6,Workflow of Task 3 (Photoshop),Workflow of Task 2 (multiple sampler),4:30,10:43,4:14
"CS modified with DA, Cognitive Science",< 1 year,Yes,Yes,Yes,Prompt 2: Non-Representational,20,5,2,2,2,5,5,15,3,3,3,5,5,5,6,6,5,4,5,6,6,3,Workflow of Task 3 (Photoshop),Workflow of Task 1 (single sampler),9:26,5:48,3:35
MSDA,1-3 years,Yes,Yes,Yes,Prompt 3: Design,10,7,5,2,1,4,6,10,5,5,4,5,5,6,30,6,5,6,3,6,7,3,Workflow of Task 2 (multiple sampler),Workflow of Task 1 (single sampler),5:14,7:41,23:02
MSDA,3+ years,Yes,Yes,Yes,Prompt 1: Representational,10,6,2,3,7,6,5,12,7,2,1,7,7,7,10,7,7,6,7,7,7,2,Workflow of Task 3 (Photoshop),Workflow of Task 1 (single sampler),4:33,7:08,8:21
Computer Science,< 1 year,Yes,Yes,Yes,Prompt 2: Non-Representational,5,6,4,5,6,5,6,13,4,3,3,6,5,4,10,5,6,6,5,6,5,3,Workflow of Task 3 (Photoshop),Workflow of Task 2 (multiple sampler),5:28,10:58,7:30
MSDA,3+ years,Yes,Yes,No,Prompt 3: Design,8,6,5,4,7,7,5,12,6,6,5,6,5,6,20,6,7,5,5,7,6,5,Workflow of Task 2 (multiple sampler),Workflow of Task 1 (single sampler),7:24,10:32,21:08